text,label
"Hey, are you free this evening? Let us meet at the coffee shop around 6 PM.",1
Can you please send me the recipe for the chocolate cake you made last week?,1
I had a wonderful time at the park today with my family. The weather was sunny and pleasant.,1
Let us catch up over lunch on Friday if your schedule permits.,1
"Thanks for helping me move the furniture yesterday, I really appreciate your support.",1
"Happy birthday! Wishing you a fantastic year filled with health, joy, and success.",1
Do you know what time the grocery store closes tonight? I need to pick up a few ingredients.,1
I finished reading the novel you recommended and really enjoyed the character development.,1
"The weather is very pleasant today, let us go out for a coffee.",1
Can you send the project presentation by 4 PM?,1
"Hello Naveen, can we review the presentation slides together before the meeting tomorrow?",1
I just bought a new laptop today and it works very smoothly.,1
"Hey mom, I reached the hostel safely. Will call you after dinner.",1
Did you watch the football match last night? What an amazing comeback in the final minutes!,1
Please bring the house keys when you come back from office.,1
"I am stuck in heavy traffic near MG Road, will be late by 20 minutes.",1
Can you share the lecture notes from yesterday's chemistry class?,1
"Great job on the presentation today, the client was really impressed with your analysis.",1
Are we still meeting at the library at 3 PM to work on our group assignment?,1
Don't forget to buy milk and bread on your way home.,1
"Thanks for the dinner invitation last night, we had a fantastic time!",1
Could you please check if I left my jacket at your apartment?,1
Please find attached the quarterly financial report for review before our team meeting tomorrow morning.,1
Reminder: The team standup is scheduled for 10:00 AM in Conference Room B.,1
The team meeting has been moved to 10 AM on Monday.,1
Thank you for submitting your project proposal. The review committee will provide feedback by next Tuesday.,1
The marketing department completed the customer survey and shared the aggregate summary with team leads.,1
Here are the meeting notes and action items from today's client sync.,1
Please submit your timesheets by 5 PM today for payroll processing.,1
Our engineering team scheduled server maintenance for midnight Sunday to apply security patches.,1
Welcome to the team! Your onboarding session is scheduled for Monday at 9:30 AM.,1
"Hi team, please review the pull request on GitHub and leave your code review comments by EOD.",1
The client requested a minor modification in contract clause 4. Please update the draft agreement.,1
Annual performance evaluations will begin next week. Please complete your self-assessment form in HR portal.,1
Attached is the monthly invoice for the software subscription renewal for Q3.,1
Please make sure to update your JIRA tickets before the sprint planning meeting tomorrow.,1
The server logs indicate that the API response time has improved by 25% after the database indexing update.,1
HR announcement: The office will remain closed on Friday for the national holiday.,1
Could you please send me the contact details of the vendor we hired for the event?,1
Your order #12345 has been processed and will arrive by Friday. Thank you for shopping with us.,1
Your appointment with Dr. Williams has been confirmed for Thursday at 2:30 PM.,1
Your flight check-in is now open. Seat 14A has been assigned for your flight to Chicago.,1
Your package has been delivered to your front porch. Have a great day.,1
Your monthly utility statement is ready to view online. Your auto-pay is scheduled for the 15th.,1
Your car service appointment is scheduled for tomorrow morning at 8:00 AM.,1
The train arrives at platform 3 at 5:45 PM.,1
Your Amazon order #402-8912301 has been dispatched. Track your delivery on the Amazon app.,1
